order_id,product,price,quantity,city
ORD-00013,Phone,4870.95,13,Delhi
ORD-00037,Keyboard,3889.26,11,Delhi
ORD-00046,Laptop,1356.17,19,Delhi
ORD-00057,Phone,4546.01,11,Delhi
ORD-00069,SSD,4996.55,1,Delhi
ORD-00084,Speaker,3053.68,20,Delhi
ORD-00090,Webcam,3181.55,19,Delhi
ORD-00101,Keyboard,4545.61,2,Delhi
ORD-00105,RAM,2252.89,1,Delhi
ORD-00162,Keyboard,1812.06,18,Delhi
ORD-00190,Cable,986.07,10,Delhi
ORD-00199,Cable,2216.27,16,Delhi
ORD-00210,Laptop,2679.8,7,Delhi
ORD-00213,RAM,2555.93,1,Delhi
ORD-00231,Tablet,4093.47,10,Delhi
ORD-00242,Keyboard,3574.33,15,Delhi
ORD-00258,Speaker,2292.24,16,Delhi
ORD-00292,Cable,681.74,15,Delhi
ORD-00294,Tablet,2167.89,5,Delhi
ORD-00311,Keyboard,3452.52,6,Delhi
ORD-00334,Headphones,266.8,18,Delhi
ORD-00336,Headphones,4147.59,12,Delhi
ORD-00342,Keyboard,4980.44,4,Delhi
ORD-00359,Printer,1403.13,6,Delhi
ORD-00363,Tablet,3760.24,17,Delhi
ORD-00370,Phone,2553.28,15,Delhi
ORD-00381,SSD,4630.32,3,Delhi
ORD-00382,Cable,609.74,14,Delhi
ORD-00397,Tablet,2918.33,13,Delhi
ORD-00398,Tablet,3756.64,1,Delhi
ORD-00406,Printer,746.31,14,Delhi
ORD-00414,Printer,4200.09,12,Delhi
ORD-00418,RAM,3272.67,10,Delhi
ORD-00457,Tablet,3416.55,17,Delhi
ORD-00461,Monitor,4999.88,5,Delhi
ORD-00479,Router,2664.08,14,Delhi
ORD-00492,SSD,4010.71,15,Delhi
ORD-00507,Webcam,3232.32,5,Delhi
ORD-00525,Headphones,1517.86,2,Delhi
ORD-00540,Tablet,4513.65,15,Delhi
ORD-00551,Charger,2165.27,19,Delhi
ORD-00576,Phone,1731.75,15,Delhi
ORD-00577,Keyboard,2358.05,5,Delhi
ORD-00632,Phone,2183.84,16,Delhi
ORD-00666,RAM,1936.56,19,Delhi
ORD-00670,Monitor,3641.2,16,Delhi
ORD-00736,Tablet,4244.2,8,Delhi
ORD-00750,Cable,3319.48,2,Delhi
ORD-00752,Laptop,3256.38,6,Delhi
ORD-00764,RAM,4876.74,2,Delhi
ORD-00771,Charger,1382.95,3,Delhi
ORD-00773,Headphones,1720.05,4,Delhi
ORD-00775,Charger,1494.87,5,Delhi
ORD-00777,Printer,2158.6,1,Delhi
ORD-00795,Cable,3972.15,12,Delhi
ORD-00811,Mouse,4835.43,14,Delhi
ORD-00817,Phone,1618.06,3,Delhi
ORD-00821,RAM,3544.45,11,Delhi
ORD-00833,Mouse,1764.72,15,Delhi
ORD-00890,Cable,4677.07,9,Delhi
ORD-00898,Headphones,3531.34,16,Delhi
ORD-00899,Monitor,2038.73,4,Delhi
ORD-00924,Headphones,2233.15,13,Delhi
ORD-00930,Monitor,613.81,14,Delhi
ORD-00932,SSD,3760.12,6,Delhi
ORD-00938,Charger,2260.75,17,Delhi
ORD-00950,Cable,573.85,12,Delhi
ORD-00969,Tablet,3258.63,13,Delhi
ORD-00986,Phone,2417.8,5,Delhi
