order_id,product,price,quantity,city
ORD-00001,SSD,734.38,9,Hyderabad
ORD-00002,Monitor,869.77,4,Lucknow
ORD-00003,RAM,4482.45,3,Surat
ORD-00004,Headphones,352.55,3,Hyderabad
ORD-00005,Monitor,2625.7,1,Jaipur
ORD-00006,Monitor,3636.88,18,Pune
ORD-00007,Monitor,2356.19,9,Nagpur
ORD-00008,Cable,231.18,6,Kanpur
ORD-00009,Headphones,1833.19,5,Hyderabad
ORD-00010,Charger,1815.64,3,Pune
ORD-00011,Phone,1923.09,12,Surat
ORD-00012,Keyboard,4074.21,15,Jaipur
ORD-00013,Phone,4870.95,13,Delhi
ORD-00014,Printer,1607.25,20,Bhopal
ORD-00015,Cable,1935.84,7,Kanpur
ORD-00016,Phone,419.95,8,Nagpur
ORD-00017,Keyboard,4929.05,8,Indore
ORD-00018,Phone,2024.6,15,Lucknow
ORD-00019,Cable,1951.18,12,Kolkata
ORD-00020,Monitor,3416.83,3,Surat
ORD-00021,SSD,1021.46,8,Bangalore
ORD-00022,Webcam,2021.38,18,Hyderabad
ORD-00023,SSD,1756.55,2,Hyderabad
ORD-00024,Cable,354.07,11,Pune
ORD-00025,Keyboard,517.7,19,Bhopal
ORD-00026,RAM,1710.44,16,Pune
ORD-00027,Router,4589.82,15,Bangalore
ORD-00028,Keyboard,870.22,18,Jaipur
ORD-00029,Keyboard,3785.66,14,Bhopal
ORD-00030,Speaker,2117.11,8,Bangalore
ORD-00031,Printer,2568.87,2,Indore
ORD-00032,Phone,933.63,6,Nagpur
ORD-00033,SSD,2226.36,3,Pune
ORD-00034,Headphones,3060.25,15,Jaipur
ORD-00035,Keyboard,4861.17,1,Lucknow
ORD-00036,RAM,749.84,18,Nagpur
ORD-00037,Keyboard,3889.26,11,Delhi
ORD-00038,Keyboard,2286.86,15,Mumbai
ORD-00039,RAM,4404.08,9,Jaipur
ORD-00040,Charger,1057.52,4,Indore
ORD-00041,SSD,1632.52,17,Surat
ORD-00042,Monitor,933.62,6,Jaipur
ORD-00043,Charger,4627.67,1,Surat
ORD-00044,Mouse,2545.3,4,Bhopal
ORD-00045,Mouse,4417.86,10,Hyderabad
ORD-00046,Laptop,1356.17,19,Delhi
ORD-00047,Phone,3713.15,3,Nagpur
ORD-00048,Printer,3876.0,5,Lucknow
ORD-00049,Webcam,4744.86,6,Chennai
ORD-00050,Printer,4387.67,14,Hyderabad
ORD-00051,Router,2788.61,7,Kanpur
ORD-00052,Keyboard,2115.15,12,Ahmedabad
ORD-00053,Router,2684.35,4,Hyderabad
ORD-00054,Monitor,507.31,1,Surat
ORD-00055,Printer,1304.54,8,Mumbai
ORD-00056,Phone,3597.63,2,Hyderabad
ORD-00057,Phone,4546.01,11,Delhi
ORD-00058,Printer,1342.41,16,Hyderabad
ORD-00059,Printer,835.09,19,Surat
ORD-00060,Webcam,1366.38,16,Nagpur
ORD-00061,Headphones,1113.96,4,Lucknow
ORD-00062,Headphones,1900.62,14,Ahmedabad
ORD-00063,Cable,3699.55,4,Mumbai
ORD-00064,Headphones,3695.42,4,Hyderabad
ORD-00065,Monitor,1112.99,15,Bangalore
ORD-00066,Headphones,1080.73,15,Hyderabad
ORD-00067,Cable,4631.66,15,Nagpur
ORD-00068,Cable,4308.63,4,Mumbai
ORD-00069,SSD,4996.55,1,Delhi
ORD-00070,Router,3817.1,8,Bangalore
ORD-00071,Headphones,2531.07,7,Indore
ORD-00072,Headphones,4531.72,6,Pune
ORD-00073,Laptop,4929.47,9,Bhopal
ORD-00074,Charger,3968.61,10,Pune
ORD-00075,RAM,4795.11,18,Lucknow
ORD-00076,RAM,2536.01,7,Chennai
ORD-00077,Monitor,4849.79,19,Kanpur
ORD-00078,Printer,492.59,11,Mumbai
ORD-00079,Laptop,3004.04,17,Bhopal
ORD-00080,Cable,2749.4,2,Jaipur
ORD-00081,Phone,4286.43,3,Surat
ORD-00082,Phone,3441.01,8,Pune
ORD-00083,Phone,4719.65,19,Hyderabad
ORD-00084,Speaker,3053.68,20,Delhi
ORD-00085,Headphones,3355.38,19,Jaipur
ORD-00086,Mouse,4686.58,7,Lucknow
ORD-00087,RAM,1708.07,9,Pune
ORD-00088,Tablet,3424.1,10,Ahmedabad
ORD-00089,Mouse,4659.28,3,Mumbai
ORD-00090,Webcam,3181.55,19,Delhi
ORD-00091,Phone,2780.64,17,Chennai
ORD-00092,Tablet,4679.64,3,Bhopal
ORD-00093,Monitor,1973.72,6,Ahmedabad
ORD-00094,Cable,2807.44,10,Surat
ORD-00095,Charger,3339.08,1,Lucknow
ORD-00096,Cable,2862.08,4,Bhopal
ORD-00097,Tablet,1469.43,4,Kanpur
ORD-00098,Printer,946.14,10,Surat
ORD-00099,Monitor,3644.53,7,Lucknow
ORD-00100,SSD,4293.97,17,Ahmedabad
ORD-00101,Keyboard,4545.61,2,Delhi
ORD-00102,SSD,2233.15,9,Mumbai
ORD-00103,Laptop,1801.06,5,Lucknow
ORD-00104,Keyboard,975.58,15,Jaipur
ORD-00105,RAM,2252.89,1,Delhi
ORD-00106,Phone,4736.23,5,Jaipur
ORD-00107,Laptop,4206.05,19,Jaipur
ORD-00108,Tablet,2262.97,2,Chennai
ORD-00109,Mouse,4515.1,2,Bhopal
ORD-00110,Mouse,1208.36,8,Lucknow
ORD-00111,Phone,1897.65,18,Bhopal
ORD-00112,Cable,2150.6,20,Kanpur
ORD-00113,Tablet,4643.66,8,Indore
ORD-00114,Tablet,4885.78,6,Bhopal
ORD-00115,Headphones,318.96,11,Nagpur
ORD-00116,Router,2176.21,8,Chennai
ORD-00117,Tablet,3979.39,4,Pune
